"TVS_MOTORS_DATE","CLOSE_PRICE","TWENTY_DAY_MA","FIFTY_DAY_MA"
14-JUL-16,304.4,300.35,296.632
15-JUL-16,306.6,301.105,296.859
18-JUL-16,302.85,301.6275,296.916
19-JUL-16,300.5,302.0075,296.906
20-JUL-16,302.9,302.345,297
21-JUL-16,300.25,302.6125,297.058
22-JUL-16,301.5,302.91,297.173
25-JUL-16,300.65,303.0825,297.253
26-JUL-16,291.4,302.805,297.164
27-JUL-16,287.8,302.34,297.037
28-JUL-16,290.2,301.865,296.909
29-JUL-16,291.4,300.95,296.819
01-AUG-16,295.05,300.175,296.781
02-AUG-16,299.55,299.5075,296.869
03-AUG-16,297.45,299.055,296.931
04-AUG-16,298.6,298.995,296.982
05-AUG-16,303.05,299.2725,297.072
08-AUG-16,304.1,299.53,297.315
09-AUG-16,298.9,299.24,297.514
10-AUG-16,295.65,298.64,297.712
11-AUG-16,296.75,298.2575,297.875
12-AUG-16,298.3,297.8425,297.909
16-AUG-16,298.8,297.64,297.943
17-AUG-16,313.1,298.27,298.296
18-AUG-16,311.85,298.7175,298.642
19-AUG-16,311.6,299.285,299.073
22-AUG-16,306.3,299.525,299.391
23-AUG-16,307,299.8425,299.791
24-AUG-16,306.65,300.605,300.165
25-AUG-16,306.5,301.54,300.48
26-AUG-16,303.15,302.1875,300.708
29-AUG-16,311.7,303.2025,301.112
30-AUG-16,325.85,304.7425,301.781
31-AUG-16,325.85,306.0575,302.44
01-SEP-16,327.5,307.56,303.067
02-SEP-16,331.85,309.2225,303.806
06-SEP-16,333,310.72,304.555
07-SEP-16,330.4,312.035,305.219
08-SEP-16,337.95,313.9875,306.039
09-SEP-16,330,315.705,306.697
12-SEP-16,320.9,316.9125,307.121
14-SEP-16,326.15,318.305,307.45
15-SEP-16,321.1,319.42,307.661
16-SEP-16,338.1,320.67,308.165
19-SEP-16,337.05,321.93,308.776
20-SEP-16,332.9,322.995,309.438
21-SEP-16,333.15,324.3375,310.151
22-SEP-16,349.25,326.45,311.157
23-SEP-16,350.45,328.64,312.072
26-SEP-16,347.4,330.685,312.867
27-SEP-16,347.75,332.915,313.734
28-SEP-16,351.7,334.915,314.636
29-SEP-16,348.15,336.03,315.542
30-SEP-16,365.6,338.0175,316.844
03-OCT-16,377.65,340.525,318.339
04-OCT-16,377.45,342.805,319.883
05-OCT-16,379.55,345.1325,321.444
06-OCT-16,383.9,347.8075,323.109
07-OCT-16,386.1,350.215,325.003
10-OCT-16,388.9,353.16,327.025
13-OCT-16,384.15,356.3225,328.904
14-OCT-16,390.95,359.5625,330.895
17-OCT-16,388.3,362.9225,332.76
18-OCT-16,395.4,365.7875,334.677
19-OCT-16,391,368.485,336.548
20-OCT-16,392.2,371.45,338.42
21-OCT-16,395.7,374.5775,340.273
24-OCT-16,395.25,376.8775,342.096
25-OCT-16,407.15,379.7125,344.261
26-OCT-16,399.7,382.3275,346.342
27-OCT-16,411.4,385.51,348.635
28-OCT-16,404.65,388.1575,350.762
30-OCT-16,410,391.25,352.986
01-NOV-16,403.95,393.1675,354.803
02-NOV-16,400.55,394.3125,356.577
03-NOV-16,392.25,395.0525,358.19
04-NOV-16,392.45,395.6975,359.913
07-NOV-16,390.1,396.0075,361.575
08-NOV-16,390,396.2025,363.242
09-NOV-16,379.3,395.7225,364.698
10-NOV-16,379.2,395.475,366.219
11-NOV-16,360.55,393.955,367.196
15-NOV-16,347.6,391.92,367.631
16-NOV-16,359.2,390.11,368.298
17-NOV-16,362.1,388.665,368.99
18-NOV-16,362.35,387.1725,369.6
21-NOV-16,344.65,384.62,369.833
22-NOV-16,349.25,382.32,370.21
23-NOV-16,354.25,379.675,370.536
24-NOV-16,359.2,377.65,371.12
25-NOV-16,356,374.88,371.822
28-NOV-16,353.8,372.3375,372.375
29-NOV-16,358.6,369.7675,373.125
30-NOV-16,372.05,368.1725,373.804
01-DEC-16,367.7,366.53,374.417
02-DEC-16,358.25,364.83,374.924
05-DEC-16,357.15,363.065,375.404
06-DEC-16,355.55,361.3375,375.53
07-DEC-16,359.8,359.8275,375.717
08-DEC-16,363.85,359.055,376.046
09-DEC-16,363,358.245,376.351
12-DEC-16,366.3,358.5325,376.643
13-DEC-16,381.95,360.25,377.319
14-DEC-16,379.9,361.285,377.605
15-DEC-16,378.15,362.0875,377.615
16-DEC-16,376.5,362.795,377.596
19-DEC-16,374.95,364.31,377.504
20-DEC-16,369.95,365.345,377.225
21-DEC-16,370.4,366.1525,376.911
22-DEC-16,366.85,366.535,376.47
23-DEC-16,370.35,367.2525,376.194
26-DEC-16,366.3,367.8775,375.701
27-DEC-16,352.4,367.5675,374.983
28-DEC-16,353.05,366.6175,374.136
29-DEC-16,363.3,366.3975,373.582
30-DEC-16,360.65,366.5175,372.951
02-JAN-17,366.15,366.9675,372.36
03-JAN-17,377.4,368.06,372.003
04-JAN-17,374.35,368.7875,371.347
05-JAN-17,384.75,369.8325,371.048
06-JAN-17,385.4,370.9525,370.528
09-JAN-17,384.35,371.855,370.122
10-JAN-17,383.1,371.9125,369.584
11-JAN-17,380.95,371.965,369.124
12-JAN-17,388.85,372.5,368.89
13-JAN-17,383.55,372.8525,368.716
16-JAN-17,382.9,373.25,368.525
17-JAN-17,379.2,373.7125,368.307
18-JAN-17,383.2,374.3525,368.171
19-JAN-17,388.55,375.4375,368.356
20-JAN-17,378.7,375.855,368.346
23-JAN-17,380.3,376.555,368.741
24-JAN-17,401.2,378.995,369.813
25-JAN-17,393,380.9925,370.489
27-JAN-17,391.65,382.41,371.08
30-JAN-17,387.45,383.75,371.582
31-JAN-17,385.35,384.71,372.396
01-FEB-17,394.1,385.545,373.293
02-FEB-17,389.35,386.295,373.995
03-FEB-17,391.75,386.645,374.646
06-FEB-17,395.95,387.1725,375.445
07-FEB-17,392.1,387.56,376.211
08-FEB-17,397.4,388.275,376.987
09-FEB-17,408,389.6275,377.706
10-FEB-17,411.1,390.74,378.574
13-FEB-17,411.45,392.135,379.638
14-FEB-17,409.35,393.4575,380.682
15-FEB-17,410.6,395.0275,381.783
16-FEB-17,422.1,396.9725,383.029
17-FEB-17,425.5,398.82,384.262
20-FEB-17,425.7,401.17,385.516
21-FEB-17,429,403.605,386.77
22-FEB-17,426.95,404.8925,387.67
23-FEB-17,433.35,406.91,388.739
27-FEB-17,434.8,409.0675,389.872
28-FEB-17,428.45,411.1175,390.911
01-MAR-17,424.85,413.0925,391.909
02-MAR-17,426.2,414.6975,393.034
03-MAR-17,429.35,416.6975,394.213
06-MAR-17,426.7,418.445,395.41
07-MAR-17,424.65,419.88,396.496
08-MAR-17,417.7,421.16,397.524
09-MAR-17,419.9,422.285,398.874
10-MAR-17,425.5,423.16,400.323
14-MAR-17,435.8,424.395,401.773
15-MAR-17,438.45,425.745,403.329
16-MAR-17,438.2,427.1875,404.77
17-MAR-17,442.45,428.78,406.071
20-MAR-17,439.75,429.6625,407.379
21-MAR-17,439.55,430.365,408.475
22-MAR-17,432.7,430.715,409.421
23-MAR-17,427.4,430.635,410.282
24-MAR-17,427.95,430.685,411.179
27-MAR-17,428.9,430.4625,412.138
28-MAR-17,432.3,430.3375,413.007
29-MAR-17,430.8,430.455,413.952
30-MAR-17,434.75,430.95,414.989
31-MAR-17,431.6,431.22,416.037
03-APR-17,435.2,431.5125,417.077
05-APR-17,450.45,432.7,418.315
06-APR-17,449.7,433.9525,419.735
07-APR-17,468.5,436.4925,421.499
10-APR-17,475.15,439.255,422.978
11-APR-17,473.5,441.655,424.588
12-APR-17,474.5,443.59,426.245
13-APR-17,474,445.3675,427.976
17-APR-17,471.95,447.055,429.708
18-APR-17,468.85,448.375,431.203
19-APR-17,470.85,449.93,432.833
20-APR-17,489.45,452.425,434.787
21-APR-17,482.95,454.9375,436.527
24-APR-17,485.45,457.84,438.394
25-APR-17,488.95,460.89,440.225
26-APR-17,502.25,464.5575,442.11
27-APR-17,503.05,468.095,443.949
28-APR-17,495.6,471.335,445.632
02-MAY-17,494.7,474.3325,447.339
03-MAY-17,499.15,477.71,449.11
04-MAY-17,496.95,480.7975,450.607
05-MAY-17,492.7,482.91,451.951
08-MAY-17,500.8,485.465,453.453
09-MAY-17,499.3,487.005,454.859
10-MAY-17,497.05,488.1,456.261
11-MAY-17,499.25,489.3875,457.579
12-MAY-17,515.9,491.4575,459.201
15-MAY-17,524.65,493.99,461.125
16-MAY-17,532.8,497.0325,463.284
17-MAY-17,532.75,500.2275,465.415
18-MAY-17,529.65,503.1675,467.421
19-MAY-17,525.1,504.95,469.389
22-MAY-17,526.55,507.13,471.427
